image,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
14_aug.jpg,spill,0.8334,286,362,394,452,340,407
50_aug.jpg,spill,0.9356,304,443,376,503,340,473
40_aug.jpg,spill,0.5229,51,330,640,640,345,485
17.jpg,spill,0.8841,749,1960,1779,2699,1264,2329
13.png,spill,0.501,72,298,521,448,296,373
38_aug.jpg,spill,0.9427,447,350,636,518,541,434
38_aug.jpg,spill,0.9193,68,276,178,359,123,317
33.jpg,spill,0.9052,93,417,393,562,243,489
9_aug.jpg,spill,0.8823,329,362,437,526,383,444
18.jpg,spill,0.8391,136,270,498,568,317,419
25.jpg,spill,0.7387,314,884,634,1439,474,1161
25.jpg,spill,0.7248,209,750,592,998,400,874
27_aug.jpg,spill,0.8044,46,158,273,355,159,256
27_aug.jpg,spill,0.7742,66,233,481,553,273,393
27_aug.jpg,spill,0.5555,225,238,478,559,351,398
43.jpg,spill,0.8776,0,12,262,248,131,130
43.jpg,spill,0.8613,215,123,387,254,301,188
41.jpg,spill,0.9135,295,2186,2750,3493,1522,2839
44.jpg,spill,0.7662,402,530,551,726,476,628
3.jpg,spill,0.7604,285,384,476,511,380,447
47.jpg,spill,0.8579,48,247,381,341,214,294
