epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8563,1.94185,3.47395,2.10294,0.00438,0.91304,0.01771,0.00732,1.85533,3.44741,2.06608,6e-05,6e-05,6e-05
2,29.4979,1.8819,3.44311,2.02372,0.00438,0.91304,0.15841,0.05907,1.79696,3.39792,1.99119,0.000138614,0.000138614,0.000138614
3,31.0606,1.71926,3.20101,1.98312,0.00458,0.95652,0.24196,0.10522,1.57611,3.48649,1.91461,0.000215644,0.000215644,0.000215644
4,32.6182,1.55538,2.70336,1.7606,0.00458,0.95652,0.20241,0.06802,1.57622,3.47615,1.90072,0.00029109,0.00029109,0.00029109
5,34.0162,1.56061,2.44113,1.77518,0.00458,0.95652,0.18655,0.07913,1.68613,3.41411,1.91472,0.000364952,0.000364952,0.000364952
6,35.4721,1.64096,2.3625,1.80181,0.00479,1,0.21383,0.09225,1.66162,3.34496,1.91782,0.00043723,0.00043723,0.00043723
7,37.1656,1.50726,2.21509,1.73986,0.00479,1,0.29491,0.12505,1.61585,3.25633,1.79142,0.000507924,0.000507924,0.000507924
8,39.5986,1.52784,2.23653,1.70832,0.00479,1,0.31816,0.13964,1.82511,3.15787,1.83351,0.000577034,0.000577034,0.000577034
9,41.613,1.49024,2.17458,1.64552,0.00693,0.95652,0.34447,0.13958,1.75973,3.17514,1.76106,0.00064456,0.00064456,0.00064456
10,43.0507,1.57155,2.17679,1.71031,0.71952,0.11453,0.42201,0.15822,1.90163,3.08797,1.80426,0.000710502,0.000710502,0.000710502
11,44.6109,1.54627,2.10801,1.67044,0.56666,0.17391,0.32988,0.13124,1.97712,3.12169,1.84347,0.00077486,0.00077486,0.00077486
12,46.4283,1.56815,2.05768,1.73454,0.51083,0.31847,0.36111,0.14788,1.79059,2.95283,1.69266,0.000837634,0.000837634,0.000837634
13,47.7857,1.53441,2.22833,1.72778,0.35706,0.43464,0.33784,0.14425,2.01906,2.83353,1.88125,0.000898824,0.000898824,0.000898824
14,49.4004,1.49931,2.03752,1.67825,0.50003,0.43483,0.44672,0.17391,1.96919,2.79448,1.89128,0.00095843,0.00095843,0.00095843
15,50.9841,1.44969,1.89112,1.59606,0.47463,0.52174,0.41961,0.21537,1.79396,2.55976,1.88852,0.00101645,0.00101645,0.00101645
16,53.2445,1.53884,1.92067,1.65315,0.45076,0.3913,0.47181,0.22788,1.76008,2.56679,1.76109,0.00107289,0.00107289,0.00107289
17,55.4033,1.39428,1.99961,1.61585,0.51919,0.47826,0.50495,0.21556,1.9063,2.57987,2.0486,0.00112774,0.00112774,0.00112774
18,57.0051,1.48921,1.91392,1.63397,0.52342,0.52174,0.41677,0.21432,1.85512,2.55372,2.00519,0.00118101,0.00118101,0.00118101
19,58.4871,1.37314,1.72765,1.50167,0.50512,0.52174,0.38496,0.14962,2.09287,2.66462,2.20021,0.0012327,0.0012327,0.0012327
20,59.9063,1.50025,1.93097,1.64708,0.48902,0.54134,0.40489,0.12344,2.28431,2.93622,2.50362,0.0012828,0.0012828,0.0012828
21,61.3992,1.54887,1.93947,1.72477,0.19119,0.26087,0.13766,0.0659,2.34528,3.1873,2.65217,0.00133132,0.00133132,0.00133132
22,62.9057,1.54104,1.90236,1.64891,0.29822,0.18533,0.15053,0.06509,2.40928,2.92349,2.65962,0.00137825,0.00137825,0.00137825
23,64.319,1.34962,1.98892,1.49698,0.54034,0.34783,0.32102,0.10312,2.3239,2.60399,2.24925,0.0014236,0.0014236,0.0014236
